TICKER_SYMBOL,END_DATE,LDBL,LXBZBS,ZCFZL,CHZZL,ZCBCL,CHZLDZCB,CQZBSYL,YYMLL,YSL,YSZKZZL,YYSR,YYCB,YYSJJFJ,YWFY,ZCJZSS,LRZE,FLAG
4019,1,8.24911,1.83324,0.10018,3.13214,0.09723,0.07257,0.10554,0.97278,0.1561,0.26727,479500571,293550024.3,1505596.1,70399458.93,23119755.14,124977633.4,0
8166,1,1.3001,15.58644,0.66081,3.33273,0.07795,0.22293,0.21593,0.92089,0.12659,0.06131,5325324268,3498735545,28213513.69,1373892339,29930865.49,415222702.5,0
11737,1,4.62003,3.31066,0.17311,1.19244,0.08734,0.18267,0.10118,1.00495,0.09472,0.26297,1683759565,788367345,8298888.47,586469434.6,1766300.21,384325616.1,0
16479,1,2.77734,3.59707,0.35293,5.12706,0.04856,0.13312,0.06808,0.98878,0.14381,0.11057,2229978343,1743231344,11585500.32,394234510.3,4007795.79,121917741.1,0
16842,1,2.48068,68.08648,0.33309,4.27485,0.19819,0.29959,0.28469,0.90921,0.14099,0.25481,394554258.9,298639209.7,1621817.64,37244010.74,970096.95,60426742.07,0
16916,1,5.55654,0.70293,0.10189,16.86014,0.05577,0.05245,0.06023,1.02605,0.16882,0.09614,522718155.6,437769963.6,3748918.62,66226872.28,636576.22,27679388.03,0
17119,1,2.52615,3.07397,0.4289,1.32887,0.25811,0.34766,0.3979,1.09646,0.13797,0.36537,165523828,97225558.69,1058506.41,28423479.59,2511441.79,46178211.91,0
18545,1,1.78455,3.36717,0.39853,4.78355,0.26812,0.20125,0.4446,0.93506,0.14505,0.24986,447942914.6,307186691.3,2930419.46,51948514.5,730273.51,93125920.92,0
18909,1,2.79048,4.71719,0.29622,2.14924,0.08801,0.14306,0.12506,0.91017,0.15905,0.53731,975650646.3,654511332.7,7485360.77,97431049.9,45979462.84,187011454.4,0
22933,1,1.43097,1.93961,0.50852,10.69298,0.15955,0.16068,0.24645,0.70161,0.12839,0.42592,4552340497,3651901190,20112934.4,502237043.1,5431486.04,443489755.8,0
